wavelength,k
2.36e-18,0.00109
3.16e-18,0.00129
4.47e-18,0.00324
6.76e-18,0.00177
1.14e-17,0.00563
1.355e-17,0.0101
1.714e-17,0.0359
2.43e-17,0.112
2.563e-17,0.132
3.038e-17,0.173
3.27e-17,0.195
3.568e-17,0.192
3.793e-17,0.203
4.059e-17,0.172
4.478e-17,0.212
4.607e-17,0.218
4.895e-17,0.319
5.391e-17,0.329
5.843e-17,0.421
6.163e-17,0.379
6.714e-17,0.461
7.185e-17,0.484
7.359e-17,0.559
7.437e-17,0.547
8.345e-17,0.622
8.78e-17,0.606
9.198e-17,0.664
9.321e-17,0.701
9.888e-17,0.761
1.0258e-16,0.77
1.0482e-16,0.848
1.0667e-16,0.861
1.0857e-16,0.884
1.135e-16,0.884
1.2007e-16,0.938
1.2157e-16,0.995
