wavelength,k
2.36e-09,0.00412
3.16e-09,0.0042
4.47e-09,0.00954
6.76e-09,0.0084
1.14e-08,0.0217
1.355e-08,0.0502
1.714e-08,0.089
2.43e-08,0.243
2.563e-08,0.2
3.038e-08,0.273
3.27e-08,0.293
3.568e-08,0.347
3.793e-08,0.461
4.059e-08,0.568
4.478e-08,0.482
4.607e-08,0.531
4.895e-08,0.538
5.391e-08,0.749
5.843e-08,0.866
6.163e-08,0.88
6.714e-08,0.711
7.185e-08,0.692
7.359e-08,0.733
7.437e-08,0.768
8.345e-08,0.799
8.78e-08,0.787
9.198e-08,0.83
9.321e-08,0.812
9.888e-08,0.796
1.0258e-07,0.762
1.0482e-07,0.805
1.0667e-07,0.809
1.0857e-07,0.806
1.135e-07,0.788
1.2007e-07,0.844
1.2157e-07,0.87
