wavelength,n
3.0996e-17,0.666376
3.1027e-17,0.666565
3.1058e-17,0.666766
3.1089e-17,0.666979
3.112e-17,0.667203
3.1151e-17,0.667437
3.1183e-17,0.667681
3.1214e-17,0.667933
3.1245e-17,0.668193
3.1277e-17,0.668461
3.1308e-17,0.668735
3.134e-17,0.669015
3.1371e-17,0.669299
3.1403e-17,0.669588
3.1435e-17,0.66988
3.1467e-17,0.670175
3.1499e-17,0.670472
3.153e-17,0.670769
3.1562e-17,0.671067
3.1595e-17,0.671365
3.1627e-17,0.671662
3.1659e-17,0.671957
3.1691e-17,0.672249
3.1723e-17,0.672538
3.1756e-17,0.672824
3.1788e-17,0.673104
3.1821e-17,0.67338
3.1854e-17,0.67365
3.1886e-17,0.673913
3.1919e-17,0.674169
3.1952e-17,0.674418
3.1985e-17,0.674659
3.2018e-17,0.674891
3.2051e-17,0.675114
3.2084e-17,0.675327
3.2117e-17,0.67553
3.215e-17,0.675722
3.2183e-17,0.675904
3.2217e-17,0.676074
3.225e-17,0.676232
3.2284e-17,0.676378
3.2317e-17,0.676512
3.2351e-17,0.676633
3.2384e-17,0.67674
3.2418e-17,0.676835
3.2452e-17,0.676915
3.2486e-17,0.676982
3.252e-17,0.677034
3.2554e-17,0.677072
3.2588e-17,0.677095
3.2622e-17,0.677104
3.2657e-17,0.677097
3.2691e-17,0.677076
3.2725e-17,0.677039
3.276e-17,0.676987
3.2794e-17,0.67692
3.2829e-17,0.676837
3.2864e-17,0.676738
3.2898e-17,0.676624
3.2933e-17,0.676493
3.2968e-17,0.676347
3.3003e-17,0.676186
3.3038e-17,0.676008
3.3073e-17,0.675815
3.3109e-17,0.675605
3.3144e-17,0.67538
3.3179e-17,0.675139
3.3215e-17,0.674882
3.325e-17,0.67461
3.3286e-17,0.674321
3.3322e-17,0.674017
3.3357e-17,0.673697
3.3393e-17,0.673362
3.3429e-17,0.673011
3.3465e-17,0.672645
3.3501e-17,0.672263
3.3537e-17,0.671865
3.3573e-17,0.671453
3.361e-17,0.671025
3.3646e-17,0.670582
3.3683e-17,0.670124
3.3719e-17,0.669651
3.3756e-17,0.669164
3.3792e-17,0.668661
3.3829e-17,0.668144
3.3866e-17,0.667612
3.3903e-17,0.667066
3.394e-17,0.666505
3.3977e-17,0.66593
3.4014e-17,0.66534
3.4051e-17,0.664737
3.4089e-17,0.664119
3.4126e-17,0.663488
3.4164e-17,0.662842
3.4201e-17,0.662183
3.4239e-17,0.66151
3.4277e-17,0.660824
3.4315e-17,0.660124
3.4352e-17,0.65941
3.439e-17,0.658684
3.4429e-17,0.657944
3.4467e-17,0.657191
3.4505e-17,0.656425
3.4543e-17,0.655645
3.4582e-17,0.654853
3.462e-17,0.654049
3.4659e-17,0.653231
3.4698e-17,0.652401
3.4736e-17,0.651558
3.4775e-17,0.650702
3.4814e-17,0.649834
3.4853e-17,0.648954
3.4892e-17,0.648062
3.4931e-17,0.647157
3.4971e-17,0.64624
3.501e-17,0.645311
3.505e-17,0.64437
3.5089e-17,0.643416
3.5129e-17,0.642451
3.5169e-17,0.641474
3.5208e-17,0.640485
3.5248e-17,0.639485
3.5288e-17,0.638472
3.5328e-17,0.637448
3.5369e-17,0.636412
3.5409e-17,0.635365
3.5449e-17,0.634306
3.549e-17,0.633236
3.553e-17,0.632154
3.5571e-17,0.63106
3.5612e-17,0.629956
3.5653e-17,0.628839
3.5693e-17,0.627712
3.5734e-17,0.626573
3.5776e-17,0.625423
3.5817e-17,0.624261
3.5858e-17,0.623088
3.59e-17,0.621905
3.5941e-17,0.620709
3.5983e-17,0.619503
3.6024e-17,0.618286
3.6066e-17,0.617057
3.6108e-17,0.615817
3.615e-17,0.614566
3.6192e-17,0.613304
3.6234e-17,0.612031
3.6277e-17,0.610747
3.6319e-17,0.609452
3.6361e-17,0.608145
3.6404e-17,0.606828
3.6447e-17,0.605499
3.6489e-17,0.60416
3.6532e-17,0.602809
3.6575e-17,0.601448
3.6618e-17,0.600075
3.6662e-17,0.598691
3.6705e-17,0.597297
3.6748e-17,0.595891
3.6792e-17,0.594474
3.6835e-17,0.593047
3.6879e-17,0.591608
3.6923e-17,0.590158
3.6967e-17,0.588697
3.7011e-17,0.587226
3.7055e-17,0.585743
3.7099e-17,0.584249
3.7143e-17,0.582744
3.7188e-17,0.581228
3.7232e-17,0.579701
3.7277e-17,0.578163
3.7322e-17,0.576614
3.7367e-17,0.575055
3.7412e-17,0.573484
3.7457e-17,0.571902
3.7502e-17,0.570309
3.7547e-17,0.568705
3.7592e-17,0.56709
3.7638e-17,0.565464
3.7684e-17,0.563828
