wavelength,k
2.638e-07,4.016
2.652e-07,4.075
2.666e-07,4.143
2.681e-07,4.2
2.695e-07,4.279
2.71e-07,4.357
2.725e-07,4.43
2.74e-07,4.495
2.755e-07,4.571
2.771e-07,4.657
2.786e-07,4.702
2.802e-07,4.798
2.818e-07,4.859
2.834e-07,4.916
2.85e-07,4.972
2.867e-07,5.001
2.883e-07,5.056
2.9e-07,5.078
2.917e-07,5.064
2.935e-07,5.032
2.952e-07,4.952
2.97e-07,4.863
2.988e-07,4.705
3.006e-07,4.572
3.024e-07,4.42
3.043e-07,4.268
3.061e-07,4.12
3.08e-07,3.988
3.1e-07,3.879
3.119e-07,3.765
3.139e-07,3.652
3.159e-07,3.57
3.179e-07,3.478
3.2e-07,3.414
3.22e-07,3.346
3.241e-07,3.279
3.263e-07,3.222
3.284e-07,3.163
3.306e-07,3.124
3.328e-07,3.074
3.351e-07,3.035
3.374e-07,2.991
3.397e-07,2.952
3.42e-07,2.913
3.444e-07,2.878
3.468e-07,2.85
3.493e-07,2.808
3.517e-07,2.806
3.542e-07,2.759
3.568e-07,2.747
3.594e-07,2.716
3.62e-07,2.683
3.647e-07,2.655
3.674e-07,2.603
3.701e-07,2.53
3.729e-07,2.417
3.757e-07,2.291
3.786e-07,2.071
3.815e-07,1.855
3.844e-07,1.606
3.875e-07,1.367
3.905e-07,1.157
3.936e-07,0.966
3.967e-07,0.826
3.999e-07,0.703
4.032e-07,0.6
4.065e-07,0.516
4.099e-07,0.447
4.133e-07,0.399
4.168e-07,0.354
4.203e-07,0.315
4.239e-07,0.285
4.275e-07,0.256
4.312e-07,0.238
4.35e-07,0.207
4.389e-07,0.193
4.428e-07,0.177
4.468e-07,0.146
4.509e-07,0.139
4.55e-07,0.129
4.592e-07,0.117
4.635e-07,0.108
4.679e-07,0.104
4.723e-07,0.09
4.769e-07,0.086
4.815e-07,0.074
4.862e-07,0.071
4.91e-07,0.063
4.959e-07,0.056
5.009e-07,0.051
5.061e-07,0.05
5.113e-07,0.043
5.166e-07,0.036
5.22e-07,0.035
5.276e-07,0.031
5.333e-07,0.03
5.391e-07,0.026
5.45e-07,0.025
5.51e-07,0.021
5.572e-07,0.02
5.636e-07,0.018
5.7e-07,0.018
5.767e-07,0.013
5.835e-07,0.014
5.904e-07,0.012
5.975e-07,0.013
6.048e-07,0.011
6.123e-07,0.01
6.199e-07,0.008
6.278e-07,0.007
6.358e-07,0.007
6.441e-07,0.007
6.525e-07,0.008
6.612e-07,0.007
6.702e-07,0.006
6.794e-07,0.006
6.888e-07,0.006
6.985e-07,0.006
7.085e-07,0.005
7.187e-07,0.004
7.293e-07,0.002
7.402e-07,0.0013
7.514e-07,0.001
7.63e-07,0.0015
7.749e-07,0.002
7.872e-07,0.0015
7.999e-07,0.0015
8.13e-07,0.0021
8.266e-07,0.002
