wavelength,C
3.0000000000000004e-07,0.0
3.0500000000000004e-07,-1.0842021724855044e-19
3.1e-07,0.0
3.15e-07,0.0
3.2000000000000001e-07,0.010000000000000009
3.2500000000000001e-07,0.20000000000000001
3.3000000000000002e-07,0.40000000000000002
3.3500000000000002e-07,1.5499999999999998
3.4000000000000003e-07,2.7000000000000002
3.4500000000000003e-07,4.8499999999999988
3.5000000000000004e-07,7.0
3.5500000000000004e-07,9.9499999999999993
3.6000000000000005e-07,12.9
3.65e-07,17.199999999999996
3.7e-07,21.399999999999995
3.7500000000000001e-07,27.5
3.8000000000000001e-07,33.0
3.8500000000000002e-07,39.920000000000002
3.9000000000000002e-07,47.400000000000006
3.9500000000000003e-07,55.170000000000002
4.0000000000000003e-07,63.300000000000004
4.0500000000000004e-07,71.810000000000002
4.1000000000000004e-07,80.599999999999994
4.1500000000000005e-07,89.530000000000001
4.2e-07,98.100000000000009
4.2500000000000001e-07,105.80000000000001
4.3000000000000001e-07,112.40000000000001
4.3500000000000002e-07,117.75
4.4000000000000002e-07,121.50000000000001
4.4500000000000003e-07,123.45
4.5000000000000003e-07,124.0
4.5500000000000004e-07,123.60000000000001
4.6000000000000004e-07,123.10000000000002
4.6500000000000005e-07,123.3
4.7000000000000005e-07,123.79999999999998
4.75e-07,124.09
4.8000000000000006e-07,123.90000000000001
4.8500000000000002e-07,122.91999999999999
4.9000000000000007e-07,120.69999999999999
4.9500000000000003e-07,116.90000000000001
5.0000000000000008e-07,112.09999999999999
5.0500000000000004e-07,106.97999999999999
5.0999999999999999e-07,102.29999999999998
5.1500000000000005e-07,98.810000000000002
5.2e-07,96.899999999999991
5.2500000000000006e-07,96.779999999999987
5.3000000000000001e-07,98.0
5.3500000000000007e-07,99.939999999999998
5.4000000000000002e-07,102.09999999999999
5.4500000000000008e-07,103.94999999999999
5.5000000000000003e-07,105.2
5.5500000000000009e-07,105.67
5.6000000000000004e-07,105.29999999999998
5.6499999999999999e-07,104.10999999999999
5.7000000000000005e-07,102.29999999999998
5.75e-07,100.15000000000001
5.8000000000000006e-07,97.799999999999997
5.8500000000000001e-07,95.430000000000007
5.9000000000000007e-07,93.200000000000003
5.9500000000000002e-07,91.220000000000013
6.0000000000000008e-07,89.699999999999989
6.0500000000000003e-07,88.830000000000013
6.1000000000000009e-07,88.400000000000006
6.1500000000000004e-07,88.189999999999998
6.1999999999999999e-07,88.099999999999994
6.2500000000000005e-07,88.060000000000002
6.3e-07,88.0
6.3500000000000006e-07,87.859999999999985
6.4000000000000001e-07,87.800000000000011
6.4500000000000007e-07,87.989999999999995
6.5000000000000002e-07,88.200000000000003
6.5500000000000008e-07,88.199999999999989
6.6000000000000003e-07,87.90000000000002
6.6500000000000009e-07,87.219999999999999
6.7000000000000004e-07,86.299999999999983
6.75e-07,85.300000000000011
6.8000000000000005e-07,84.000000000000014
6.8500000000000001e-07,82.20999999999998
6.9000000000000006e-07,80.199999999999989
6.9500000000000002e-07,78.239999999999995
7.0000000000000007e-07,76.299999999999997
7.0500000000000003e-07,74.360000000000014
7.1000000000000008e-07,72.400000000000006
7.1500000000000004e-07,70.400000000000006
7.2000000000000009e-07,68.299999999999997
7.2500000000000005e-07,66.300000000000011
7.3e-07,64.40000000000002
7.3500000000000006e-07,62.799999999999997
7.4000000000000001e-07,61.5
7.4500000000000007e-07,60.199999999999996
7.5000000000000002e-07,59.20000000000001
7.5500000000000008e-07,58.5
7.6000000000000003e-07,58.100000000000009
7.6500000000000009e-07,58.0
7.7000000000000004e-07,58.200000000000003
7.750000000000001e-07,58.499999999999993
7.8000000000000005e-07,59.100000000000001
