wavelength,b_bar
3.8e-07,0.00117
3.85e-07,0.00189
3.9e-07,0.00359
3.95e-07,0.00647
4e-07,0.01214
4.05e-07,0.01969
4.1e-07,0.03707
4.15e-07,0.06637
4.2e-07,0.11541
4.25e-07,0.18575
4.3e-07,0.24769
4.35e-07,0.29012
4.4e-07,0.31228
4.45e-07,0.3186
4.5e-07,0.3167
4.55e-07,0.31166
4.6e-07,0.29821
4.65e-07,0.27295
4.7e-07,0.22991
4.75e-07,0.18592
4.8e-07,0.14494
4.85e-07,0.10968
4.9e-07,0.08257
4.95e-07,0.06246
5e-07,0.04776
5.05e-07,0.03688
5.1e-07,0.02698
5.15e-07,0.01842
5.2e-07,0.01221
5.25e-07,0.0083
5.3e-07,0.00549
5.35e-07,0.0032
5.4e-07,0.00146
5.45e-07,0.00023
5.5e-07,-0.00058
5.55e-07,-0.00105
5.6e-07,-0.0013
5.65e-07,-0.00138
5.7e-07,-0.00135
5.75e-07,-0.00123
5.8e-07,-0.00108
5.85e-07,-0.00093
5.9e-07,-0.00079
5.95e-07,-0.00063
6e-07,-0.00049
6.05e-07,-0.00038
6.1e-07,-0.0003
6.15e-07,-0.00022
6.2e-07,-0.00015
6.25e-07,-0.00011
6.3e-07,-8e-05
6.35e-07,-5e-05
6.4e-07,-3e-05
6.45e-07,-2e-05
6.5e-07,-1e-05
6.55e-07,-1e-05
6.6e-07,-6.61744490042e-22
6.65e-07,0.0
6.7e-07,-2.97785020519e-23
6.75e-07,-5.37667398159e-24
6.8e-07,0.0
6.85e-07,-7.75481824268e-25
6.9e-07,0.0
6.95e-07,3.55429169456e-26
7e-07,3.23117426779e-27
7.05e-07,5.65455496862e-27
7.1e-07,4.03896783473e-28
7.15e-07,-7.57306469012e-29
7.2e-07,-1.57772181044e-29
7.25e-07,-2.36658271566e-30
7.3e-07,-1.38050658414e-30
7.35e-07,-8.87468518374e-31
7.4e-07,-2.46519032882e-32
7.45e-07,-1.23259516441e-32
7.5e-07,-2.46519032882e-32
7.55e-07,0.0
7.6e-07,-2.11852293883e-33
7.65e-07,-1.92592994439e-34
7.7e-07,7.22223729145e-35
7.75e-07,-9.62964972194e-35
7.8e-07,0.0
