wavelength,n
5.4e-16,1.82
5.5e-16,1.88
5.6e-16,1.97
5.7e-16,2.04
5.8e-16,2.11
5.9e-16,2.17
6e-16,2.26
6.1e-16,2.29
6.2e-16,2.34
6.3e-16,2.39
6.4e-16,2.39
6.5e-16,2.34
6.6e-16,2.28
6.7e-16,2.18
6.8e-16,2.09
6.9e-16,1.97
7e-16,1.85
7.1e-16,1.67
7.2e-16,1.54
7.3e-16,1.4
7.4e-16,1.3
7.5e-16,1.24
7.6e-16,1.17
7.8e-16,1.09
7.9e-16,1.07
8e-16,1.04
8.1e-16,1.02
8.2e-16,1.0
8.4e-16,0.989
8.5e-16,0.976
8.6e-16,0.965
8.8e-16,0.94
9e-16,0.904
9.2e-16,0.87
9.5e-16,0.821
9.8e-16,0.771
1e-15,0.721
1.05e-15,0.656
1.1e-15,0.574
1.15e-15,0.485
1.2e-15,0.417
1.25e-15,0.346
1.3e-15,0.312
1.35e-15,0.294
1.4e-15,0.285
1.45e-15,0.29
1.5e-15,0.275
1.6e-15,0.3
1.7e-15,0.312
1.8e-15,0.336
1.9e-15,0.338
2e-15,0.387
2.1e-15,0.382
2.2e-15,0.448
2.3e-15,0.409
2.4e-15,0.541
2.5e-15,0.586
2.55e-15,0.597
2.6e-15,0.614
3e-15,0.81
3.5e-15,1.1
4e-15,1.49
5e-15,2.15
6e-15,2.95
7e-15,3.75
8e-15,4.5
9e-15,5.56
1e-14,6.7
1.1e-14,7.9
1.2e-14,9.2
