wavelength,z_bar
3.9e-07,0.01318752
3.91e-07,0.01597879
3.92e-07,0.01935758
3.93e-07,0.02343758
3.94e-07,0.02835021
3.95e-07,0.03424588
3.96e-07,0.04129467
3.97e-07,0.04968641
3.98e-07,0.05962964
3.99e-07,0.07134926
4e-07,0.08508254
4.01e-07,0.1010753
4.02e-07,0.1195838
4.03e-07,0.1408647
4.04e-07,0.1651644
4.05e-07,0.1927065
4.06e-07,0.2236782
4.07e-07,0.2582109
4.08e-07,0.2963632
4.09e-07,0.3381018
4.1e-07,0.3832822
4.11e-07,0.4316884
4.12e-07,0.483244
4.13e-07,0.5379345
4.14e-07,0.595774
4.15e-07,0.6568187
4.16e-07,0.7210459
4.17e-07,0.7878635
4.18e-07,0.8563391
4.19e-07,0.9253017
4.2e-07,0.9933444
4.21e-07,1.059178
4.22e-07,1.122832
4.23e-07,1.184947
4.24e-07,1.246476
4.25e-07,1.308674
4.26e-07,1.372628
4.27e-07,1.437661
4.28e-07,1.502449
4.29e-07,1.565456
4.3e-07,1.62494
4.31e-07,1.679488
4.32e-07,1.729668
4.33e-07,1.776755
4.34e-07,1.822228
4.35e-07,1.867751
4.36e-07,1.914504
4.37e-07,1.961055
4.38e-07,2.005136
4.39e-07,2.044296
4.4e-07,2.075946
4.41e-07,2.098231
4.42e-07,2.112591
4.43e-07,2.121427
4.44e-07,2.127239
4.45e-07,2.132574
4.46e-07,2.139093
4.47e-07,2.144815
4.48e-07,2.146832
4.49e-07,2.14225
4.5e-07,2.128264
4.51e-07,2.103205
4.52e-07,2.069388
4.53e-07,2.03003
4.54e-07,1.988178
4.55e-07,1.946651
4.56e-07,1.907521
4.57e-07,1.870689
4.58e-07,1.835578
4.59e-07,1.801657
4.6e-07,1.76844
4.61e-07,1.735338
4.62e-07,1.701254
4.63e-07,1.665053
4.64e-07,1.625712
4.65e-07,1.582342
4.66e-07,1.534439
4.67e-07,1.482544
4.68e-07,1.427438
4.69e-07,1.369876
4.7e-07,1.310576
4.71e-07,1.250226
4.72e-07,1.189511
4.73e-07,1.12905
4.74e-07,1.069379
4.75e-07,1.010952
4.76e-07,0.9541809
4.77e-07,0.8995253
4.78e-07,0.847372
4.79e-07,0.7980093
4.8e-07,0.7516389
4.81e-07,0.7082645
4.82e-07,0.6673867
4.83e-07,0.6284798
4.84e-07,0.5911174
4.85e-07,0.5549619
4.86e-07,0.5198843
4.87e-07,0.4862772
4.88e-07,0.4545497
4.89e-07,0.4249955
4.9e-07,0.3978114
4.91e-07,0.3730218
4.92e-07,0.3502618
4.93e-07,0.3291407
4.94e-07,0.3093356
4.95e-07,0.2905816
4.96e-07,0.2726773
4.97e-07,0.2555143
4.98e-07,0.2390188
4.99e-07,0.2231335
5e-07,0.2078158
5.01e-07,0.1930407
5.02e-07,0.1788089
5.03e-07,0.1651287
5.04e-07,0.1520103
5.05e-07,0.1394643
5.06e-07,0.1275353
5.07e-07,0.1163771
5.08e-07,0.1061161
5.09e-07,0.09682266
5.1e-07,0.08852389
5.11e-07,0.08118263
5.12e-07,0.07463132
5.13e-07,0.06870644
5.14e-07,0.06327834
5.15e-07,0.05824484
5.16e-07,0.05353812
5.17e-07,0.04914863
5.18e-07,0.04507511
5.19e-07,0.04131175
5.2e-07,0.03784916
5.21e-07,0.03467234
5.22e-07,0.03175471
5.23e-07,0.02907029
5.24e-07,0.02659651
5.25e-07,0.02431375
5.26e-07,0.02220677
5.27e-07,0.02026852
5.28e-07,0.01849246
5.29e-07,0.01687084
5.3e-07,0.01539505
5.31e-07,0.0140545
5.32e-07,0.01283354
5.33e-07,0.01171754
5.34e-07,0.01069415
5.35e-07,0.009753
5.36e-07,0.008886096
5.37e-07,0.008089323
5.38e-07,0.007359131
5.39e-07,0.006691736
5.4e-07,0.006083223
5.41e-07,0.005529423
5.42e-07,0.005025504
5.43e-07,0.004566879
5.44e-07,0.004149405
5.45e-07,0.003769336
5.46e-07,0.003423302
5.47e-07,0.003108313
5.48e-07,0.00282165
5.49e-07,0.00256083
5.5e-07,0.002323578
5.51e-07,0.002107847
5.52e-07,0.001911867
5.53e-07,0.001734006
5.54e-07,0.001572736
5.55e-07,0.001426627
5.56e-07,0.001294325
5.57e-07,0.001174475
5.58e-07,0.001065842
5.59e-07,0.0009673215
5.6e-07,0.0008779264
5.61e-07,0.0007967847
5.62e-07,0.0007231502
5.63e-07,0.0006563501
5.64e-07,0.0005957678
5.65e-07,0.0005408385
5.66e-07,0.0004910441
5.67e-07,0.0004459046
5.68e-07,0.0004049826
5.69e-07,0.0003678818
5.7e-07,0.0003342429
5.71e-07,0.0003037407
5.72e-07,0.0002760809
5.73e-07,0.000250997
5.74e-07,0.0002282474
5.75e-07,0.0002076129
5.76e-07,0.0001888948
5.77e-07,0.0001719127
5.78e-07,0.000156503
5.79e-07,0.0001425177
5.8e-07,0.000129823
5.81e-07,0.0001182974
5.82e-07,0.000107831
5.83e-07,9.832455e-05
5.84e-07,8.968787e-05
5.85e-07,8.183954e-05
5.86e-07,7.470582e-05
5.87e-07,6.821991e-05
5.88e-07,6.232132e-05
5.89e-07,5.695534e-05
5.9e-07,5.207245e-05
5.91e-07,4.762781e-05
5.92e-07,4.358082e-05
5.93e-07,3.989468e-05
5.94e-07,3.653612e-05
5.95e-07,3.347499e-05
5.96e-07,3.0684e-05
5.97e-07,2.813839e-05
5.98e-07,2.581574e-05
5.99e-07,2.369574e-05
6e-07,2.175998e-05
6.01e-07,1.999179e-05
6.02e-07,1.837603e-05
6.03e-07,1.689896e-05
6.04e-07,1.554815e-05
6.05e-07,1.431231e-05
6.06e-07,1.318119e-05
6.07e-07,1.214548e-05
6.08e-07,1.119673e-05
6.09e-07,1.032727e-05
6.1e-07,9.53013e-06
