wavelength,z_bar
3.9e-07,0.0184726
3.91e-07,0.02221101
3.92e-07,0.02669819
3.93e-07,0.03206937
3.94e-07,0.03847832
3.95e-07,0.04609784
3.96e-07,0.05511953
3.97e-07,0.06575257
3.98e-07,0.07822113
3.99e-07,0.09276013
4e-07,0.109609
4.01e-07,0.1290077
4.02e-07,0.1512047
4.03e-07,0.1764441
4.04e-07,0.2049517
4.05e-07,0.2369246
4.06e-07,0.2725123
4.07e-07,0.311782
4.08e-07,0.3547064
4.09e-07,0.4011473
4.1e-07,0.4508369
4.11e-07,0.5034164
4.12e-07,0.5586361
4.13e-07,0.6162734
4.14e-07,0.6760982
4.15e-07,0.7378822
4.16e-07,0.8013019
4.17e-07,0.8655573
4.18e-07,0.9295791
4.19e-07,0.9921293
4.2e-07,1.051821
4.21e-07,1.107509
4.22e-07,1.159527
4.23e-07,1.208869
4.24e-07,1.256834
4.25e-07,1.305008
4.26e-07,1.354758
4.27e-07,1.405594
4.28e-07,1.456414
4.29e-07,1.50596
4.3e-07,1.552826
4.31e-07,1.595902
4.32e-07,1.635768
4.33e-07,1.673573
4.34e-07,1.710604
4.35e-07,1.74828
4.36e-07,1.787504
4.37e-07,1.826609
4.38e-07,1.863108
4.39e-07,1.894332
4.4e-07,1.917479
4.41e-07,1.930529
4.42e-07,1.934819
4.43e-07,1.93265
4.44e-07,1.926395
4.45e-07,1.918437
4.46e-07,1.91043
4.47e-07,1.901224
4.48e-07,1.889
4.49e-07,1.871996
4.5e-07,1.848545
4.51e-07,1.817792
4.52e-07,1.781627
4.53e-07,1.742514
4.54e-07,1.702749
4.55e-07,1.664439
4.56e-07,1.629207
4.57e-07,1.59736
4.58e-07,1.568896
4.59e-07,1.543823
4.6e-07,1.522157
4.61e-07,1.503611
4.62e-07,1.486673
4.63e-07,1.469595
4.64e-07,1.450709
4.65e-07,1.42844
4.66e-07,1.401587
4.67e-07,1.370094
4.68e-07,1.33422
4.69e-07,1.294275
4.7e-07,1.25061
4.71e-07,1.203696
4.72e-07,1.154316
4.73e-07,1.103284
4.74e-07,1.051347
4.75e-07,0.9991789
4.76e-07,0.9473958
4.77e-07,0.8966222
4.78e-07,0.8473981
4.79e-07,0.8001576
4.8e-07,0.7552379
4.81e-07,0.7127879
4.82e-07,0.6725198
4.83e-07,0.6340976
4.84e-07,0.5972433
4.85e-07,0.5617313
4.86e-07,0.5274921
4.87e-07,0.4948809
4.88e-07,0.4642586
4.89e-07,0.4358841
4.9e-07,0.4099313
4.91e-07,0.3864261
4.92e-07,0.3650566
4.93e-07,0.3454812
4.94e-07,0.3274095
4.95e-07,0.3105939
4.96e-07,0.2948102
4.97e-07,0.2798194
4.98e-07,0.26541
4.99e-07,0.2514084
5e-07,0.2376753
5.01e-07,0.2241211
5.02e-07,0.2107484
5.03e-07,0.1975839
5.04e-07,0.1846574
5.05e-07,0.1720018
5.06e-07,0.1596918
5.07e-07,0.1479415
5.08e-07,0.1369428
5.09e-07,0.1268279
5.1e-07,0.1176796
5.11e-07,0.109497
5.12e-07,0.1020943
5.13e-07,0.09527993
5.14e-07,0.08890075
5.15e-07,0.08283548
5.16e-07,0.07700982
5.17e-07,0.07144001
5.18e-07,0.06615436
5.19e-07,0.06117199
5.2e-07,0.05650407
5.21e-07,0.05215121
5.22e-07,0.04809566
5.23e-07,0.0443172
5.24e-07,0.04079734
5.25e-07,0.03751912
5.26e-07,0.03446846
5.27e-07,0.03163764
5.28e-07,0.02901901
5.29e-07,0.02660364
5.3e-07,0.02438164
5.31e-07,0.02234097
5.32e-07,0.02046415
5.33e-07,0.01873456
5.34e-07,0.01713788
5.35e-07,0.01566174
5.36e-07,0.01429644
5.37e-07,0.01303702
5.38e-07,0.01187897
5.39e-07,0.01081725
5.4e-07,0.00984647
5.41e-07,0.008960687
5.42e-07,0.008152811
5.43e-07,0.007416025
5.44e-07,0.006744115
5.45e-07,0.006131421
5.46e-07,0.005572778
5.47e-07,0.005063463
5.48e-07,0.004599169
5.49e-07,0.004175971
5.5e-07,0.003790291
5.51e-07,0.003438952
5.52e-07,0.003119341
5.53e-07,0.002829038
5.54e-07,0.002565722
5.55e-07,0.002327186
5.56e-07,0.00211128
5.57e-07,0.001915766
5.58e-07,0.001738589
5.59e-07,0.00157792
5.6e-07,0.001432128
5.61e-07,0.001299781
5.62e-07,0.001179667
5.63e-07,0.001070694
5.64e-07,0.0009718623
5.65e-07,0.0008822531
5.66e-07,0.0008010231
5.67e-07,0.0007273884
5.68e-07,0.0006606347
5.69e-07,0.0006001146
5.7e-07,0.0005452416
5.71e-07,0.0004954847
5.72e-07,0.0004503642
5.73e-07,0.0004094455
5.74e-07,0.0003723345
5.75e-07,0.0003386739
5.76e-07,0.0003081396
5.77e-07,0.000280437
5.78e-07,0.0002552996
5.79e-07,0.0002324859
5.8e-07,0.0002117772
5.81e-07,0.0001929758
5.82e-07,0.0001759024
5.83e-07,0.0001603947
5.84e-07,0.0001463059
5.85e-07,0.0001335031
5.86e-07,0.000121866
5.87e-07,0.0001112857
5.88e-07,0.0001016634
5.89e-07,9.291003e-05
5.9e-07,8.494468e-05
5.91e-07,7.769425e-05
5.92e-07,7.109247e-05
5.93e-07,6.507936e-05
5.94e-07,5.960061e-05
5.95e-07,5.460706e-05
5.96e-07,5.005417e-05
5.97e-07,4.590157e-05
5.98e-07,4.211268e-05
5.99e-07,3.865437e-05
6e-07,3.549661e-05
6.01e-07,3.26122e-05
6.02e-07,2.997643e-05
6.03e-07,2.756693e-05
6.04e-07,2.536339e-05
6.05e-07,2.334738e-05
6.06e-07,2.150221e-05
6.07e-07,1.981268e-05
6.08e-07,1.8265e-05
6.09e-07,1.684667e-05
6.1e-07,1.554631e-05
6.11e-07,1.43536e-05
6.12e-07,1.325915e-05
6.13e-07,1.225443e-05
6.14e-07,1.133169e-05
6.15e-07,1.048387e-05
6.16e-07,0.0
6.17e-07,0.0
6.18e-07,0.0
6.19e-07,0.0
6.2e-07,0.0
6.21e-07,0.0
6.22e-07,0.0
6.23e-07,0.0
6.24e-07,0.0
6.25e-07,0.0
6.26e-07,0.0
6.27e-07,0.0
6.28e-07,0.0
6.29e-07,0.0
6.3e-07,0.0
6.31e-07,0.0
6.32e-07,0.0
6.33e-07,0.0
6.34e-07,0.0
6.35e-07,0.0
6.36e-07,0.0
6.37e-07,0.0
6.38e-07,0.0
6.39e-07,0.0
6.4e-07,0.0
6.41e-07,0.0
6.42e-07,0.0
6.43e-07,0.0
6.44e-07,0.0
6.45e-07,0.0
6.46e-07,0.0
6.47e-07,0.0
6.48e-07,0.0
6.49e-07,0.0
6.5e-07,0.0
6.51e-07,0.0
6.52e-07,0.0
6.53e-07,0.0
6.54e-07,0.0
6.55e-07,0.0
6.56e-07,0.0
6.57e-07,0.0
6.58e-07,0.0
6.59e-07,0.0
6.6e-07,0.0
6.61e-07,0.0
6.62e-07,0.0
6.63e-07,0.0
6.64e-07,0.0
6.65e-07,0.0
6.66e-07,0.0
6.67e-07,0.0
6.68e-07,0.0
6.69e-07,0.0
6.7e-07,0.0
6.71e-07,0.0
6.72e-07,0.0
6.73e-07,0.0
6.74e-07,0.0
6.75e-07,0.0
6.76e-07,0.0
6.77e-07,0.0
6.78e-07,0.0
6.79e-07,0.0
6.8e-07,0.0
6.81e-07,0.0
6.82e-07,0.0
6.83e-07,0.0
6.84e-07,0.0
6.85e-07,0.0
6.86e-07,0.0
6.87e-07,0.0
6.88e-07,0.0
6.89e-07,0.0
6.9e-07,0.0
6.91e-07,0.0
6.92e-07,0.0
6.93e-07,0.0
6.94e-07,0.0
6.95e-07,0.0
6.96e-07,0.0
6.97e-07,0.0
6.98e-07,0.0
6.99e-07,0.0
